candidate_id,rank,score,reasoning
CAND_0077337,1,0.9900,"Staff Machine Learning Engineer (7.0y); product company exp; 4 ML roles; good technical skills; highly active; Kochi, Kerala"
CAND_0081846,2,0.9900,"Lead AI Engineer (6.7y); product company exp; 2 ML roles; strong technical depth; Jaipur, Rajasthan"
CAND_0068351,3,0.9800,"Lead AI Engineer (6.4y); product company exp; 3 ML roles; good technical skills; Delhi, Delhi (preferred location)"
CAND_0018499,4,0.9700,"Senior Machine Learning Engineer (7.2y); product company exp; 3 ML roles; strong technical depth; Noida, Uttar Pradesh (preferred location)"
CAND_0002025,5,0.9600,"Senior AI Engineer (5.9y); product company exp; 2 ML roles; good technical skills; highly active; Trivandrum, Kerala"
CAND_0071974,6,0.9500,"Senior AI Engineer (7.8y); product company exp; 3 ML roles; strong technical depth; Vizag, Andhra Pradesh"
CAND_0046064,7,0.9425,"Senior NLP Engineer (8.9y); product company exp; 3 ML roles; good technical skills; Coimbatore, Tamil Nadu"
CAND_0068811,8,0.9300,"Applied ML Engineer (8.0y); product company exp; 4 ML roles; strong technical depth; highly active; Pune, Maharashtra (preferred location)"
CAND_0080766,9,0.9300,"Staff Machine Learning Engineer (8.8y); product company exp; 4 ML roles; good technical skills; Coimbatore, Tamil Nadu"
CAND_0093193,10,0.9300,"Senior Machine Learning Engineer (7.9y); product company exp; 2 ML roles; good technical skills; Bangalore, Karnataka (tier-1 city)"
CAND_0006418,11,0.9200,"Machine Learning Engineer (5.7y); product company exp; 2 ML roles; strong technical depth; Gurgaon, Haryana (preferred location)"
CAND_0039754,12,0.9200,"Senior Applied Scientist (16.2y); product company exp; 3 ML roles; good technical skills; Indore, Madhya Pradesh"
CAND_0099806,13,0.9200,"AI Engineer (4.6y); product company exp; 2 ML roles; strong technical depth; Bhubaneswar, Odisha"
CAND_0018549,14,0.9100,"Recommendation Systems Engineer (6.8y); product company exp; 2 ML roles; good technical skills; Coimbatore, Tamil Nadu"
CAND_0030468,15,0.9100,"Senior Applied Scientist (5.4y); product company exp; 2 ML roles; good technical skills; Indore, Madhya Pradesh"
CAND_0036437,16,0.9000,"Search Engineer (4.8y); product company exp; 3 ML roles; good technical skills; Kolkata, West Bengal"
